,folder,file_path,extension,width,height,num_channels,label,ratio
16,cane,data\raw-img\cane\OIP--90_fw5Y28UC44KVSPuxdAHaJ3.jpeg,.jpeg,226,300,3,dog,0.753
17,cane,data\raw-img\cane\OIP--9pxEn5HUPsqA38ao3O7TgHaGV.jpeg,.jpeg,300,257,3,dog,1.167
18,cane,data\raw-img\cane\OIP--AzXmxzRD9y3THnVByTtLwHaG5.jpeg,.jpeg,300,280,3,dog,1.071
19,cane,data\raw-img\cane\OIP--BKXxWj6jk2y8_PQbxmJ0gHaE9.jpeg,.jpeg,300,201,3,dog,1.493
20,cane,data\raw-img\cane\OIP--BUglHhzleeaUXxOXNbgRQHaEK.jpeg,.jpeg,300,169,3,dog,1.775
21,cane,data\raw-img\cane\OIP--cyBTQeGHK_bTaYGIDNn7AHaLE.jpeg,.jpeg,201,300,3,dog,0.67
22,cane,data\raw-img\cane\OIP--DQsiH-9LglDNlEvJpZQZQHaFw.jpeg,.jpeg,300,233,3,dog,1.288
23,cane,data\raw-img\cane\OIP--DqSseJFuaBH5t89CubEwAHaE8.jpeg,.jpeg,300,200,3,dog,1.5
24,cane,data\raw-img\cane\OIP--EJV-0S_RAhDQbtUA8HhoAHaGi.jpeg,.jpeg,300,265,3,dog,1.132
25,cane,data\raw-img\cane\OIP--GlCH31Wry6Uj4tAHTnIUwHaJv.jpeg,.jpeg,229,300,3,dog,0.763
26,cane,data\raw-img\cane\OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,.jpeg,300,200,3,dog,1.5
27,cane,data\raw-img\cane\OIP--hIXMAfOrmjSfDzjHHoZmwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
28,cane,data\raw-img\cane\OIP--HjjWS524SecIyPDEh8GNgHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
29,cane,data\raw-img\cane\OIP--HP-Jp3xDbJcfnayqlP7GwHaE7.jpeg,.jpeg,300,200,3,dog,1.5
30,cane,data\raw-img\cane\OIP--hrVyxBHfXGXIpLKB_ld2AHaEK.jpeg,.jpeg,300,169,3,dog,1.775
31,cane,data\raw-img\cane\OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,.jpeg,300,225,3,dog,1.333
32,cane,data\raw-img\cane\OIP--ittZIBa1ox84GW8FmIWAwHaGH.jpeg,.jpeg,300,248,3,dog,1.21
33,cane,data\raw-img\cane\OIP--iVoSrHMWX0IG2rxuA5CsgHaFj.jpeg,.jpeg,300,225,3,dog,1.333
34,cane,data\raw-img\cane\OIP--j4ILLV3OBiP1WFx0l7GiQHaFc.jpeg,.jpeg,300,221,3,dog,1.357
35,cane,data\raw-img\cane\OIP--jqyES48oZ9OFI3kFadEggHaEk.jpeg,.jpeg,300,185,3,dog,1.622
36,cane,data\raw-img\cane\OIP--khXa4p9B3QV8JmsHX29hgHaEK.jpeg,.jpeg,300,169,3,dog,1.775
37,cane,data\raw-img\cane\OIP--KlpwG173pm-gl9aWQkm9gHaE8.jpeg,.jpeg,300,200,3,dog,1.5
38,cane,data\raw-img\cane\OIP--L1ZAWylA3UTTMGC0_WF0wHaIA.jpeg,.jpeg,278,300,3,dog,0.927
39,cane,data\raw-img\cane\OIP--LafQFfr5Kd-NMLdQYKKNQHaER.jpeg,.jpeg,300,173,3,dog,1.734
40,cane,data\raw-img\cane\OIP--lnCqw9ajSJK5CxuFZo2TwHaFb.jpeg,.jpeg,300,220,3,dog,1.364
41,cane,data\raw-img\cane\OIP--lQutAM-FwDERp0chM2rCgHaE8.jpeg,.jpeg,300,200,3,dog,1.5
42,cane,data\raw-img\cane\OIP--LSF87v0ehcSg4hzc4Qy7QHaE8.jpeg,.jpeg,300,200,3,dog,1.5
43,cane,data\raw-img\cane\OIP--MffROkglTy0W_sVV_zv3AHaFY.jpeg,.jpeg,300,218,3,dog,1.376
44,cane,data\raw-img\cane\OIP--MG1FExhD4u9GX_Vny2QXwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
45,cane,data\raw-img\cane\OIP--msqs5Bmw4nKoAAq10fZCQHaNd.jpeg,.jpeg,166,300,3,dog,0.553
46,cane,data\raw-img\cane\OIP--MZDf-NwE7MF-xL9nqrSgwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
47,cane,data\raw-img\cane\OIP--mZiyU8uZ1LLjoPmCykXSgHaLO.jpeg,.jpeg,199,300,3,dog,0.663
48,cane,data\raw-img\cane\OIP--NBX8JVZ8wy9KtVr-cblGgHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
49,cane,data\raw-img\cane\OIP--NTohQi3Ctvo0vRUTVNHTQHaFj.jpeg,.jpeg,300,225,3,dog,1.333
50,cane,data\raw-img\cane\OIP--oBsJIeAn_f5_DI1XJ9O6wHaF7.jpeg,.jpeg,300,240,3,dog,1.25
51,cane,data\raw-img\cane\OIP--oDUk4AB3XuBQN__83AEjQHaG4.jpeg,.jpeg,300,279,3,dog,1.075
52,cane,data\raw-img\cane\OIP--OzHmoOBxcUQs7N3KjButwHaFP.jpeg,.jpeg,300,213,3,dog,1.408
53,cane,data\raw-img\cane\OIP--PIzK8IjlJZpcxJWdgIn_wHaFj.jpeg,.jpeg,300,225,3,dog,1.333
54,cane,data\raw-img\cane\OIP--PKqX2FCj-4MRkSi78FVcgHaLP.jpeg,.jpeg,197,300,3,dog,0.657
55,cane,data\raw-img\cane\OIP--pLfP_C-rvesSFF1tplovAAAAA.jpeg,.jpeg,225,300,3,dog,0.75
56,cane,data\raw-img\cane\OIP--PRmz0al4Y19jI_RrXnrqQHaIX.jpeg,.jpeg,266,300,3,dog,0.887
57,cane,data\raw-img\cane\OIP--qln8OiJUfar32CqdwPYSgHaED.jpeg,.jpeg,300,164,3,dog,1.829
58,cane,data\raw-img\cane\OIP--RzOJndNB4Agj6qql-XvGAHaH7.jpeg,.jpeg,281,300,3,dog,0.937
59,cane,data\raw-img\cane\OIP--S-Kzm1iB9TRHF7MpaJL3QHaEm.jpeg,.jpeg,300,187,3,dog,1.604
60,cane,data\raw-img\cane\OIP--t2FVkxQ6yBY4PR6jC0uLQHaLG.jpeg,.jpeg,201,300,3,dog,0.67
61,cane,data\raw-img\cane\OIP--tLYXo2whlWi1qlFDmdO7gHaE8.jpeg,.jpeg,300,200,3,dog,1.5
62,cane,data\raw-img\cane\OIP--TmnIg2PYXYuVEGcljh36wHaE6.jpeg,.jpeg,300,199,3,dog,1.508
63,cane,data\raw-img\cane\OIP--tx2au-jG4xH01_RsE7UQQHaFj.jpeg,.jpeg,300,225,3,dog,1.333
64,cane,data\raw-img\cane\OIP--uc97pTac5w3RPh4jGAw4wHaJ-.jpeg,.jpeg,223,300,3,dog,0.743
65,cane,data\raw-img\cane\OIP--Vd4TYq5XdX4Flb0D3yBNAHaGg.jpeg,.jpeg,300,264,3,dog,1.136
66,cane,data\raw-img\cane\OIP--vdk8YHsIaofbEeP7fq_BAHaHa.jpeg,.jpeg,300,300,3,dog,1.0
67,cane,data\raw-img\cane\OIP--winA9MguCMZn6fdverPlwHaEK.jpeg,.jpeg,300,169,3,dog,1.775
68,cane,data\raw-img\cane\OIP--XK9fGfui8Yd_sI6-rKx-AHaFj.jpeg,.jpeg,300,225,3,dog,1.333
69,cane,data\raw-img\cane\OIP--XyV2dbbCKXAX0Ucaw8VAgHaHi.jpeg,.jpeg,296,300,3,dog,0.987
70,cane,data\raw-img\cane\OIP--YOIKWP2AP0VVgYTomJcCQAAAA.jpeg,.jpeg,300,300,3,dog,1.0
71,cane,data\raw-img\cane\OIP--Z2dg_o5sGo8jua-d6vSagHaEK.jpeg,.jpeg,300,169,3,dog,1.775
72,cane,data\raw-img\cane\OIP--z3U3A2S2YYyBHV0r_u11gHaE8.jpeg,.jpeg,300,200,3,dog,1.5
73,cane,data\raw-img\cane\OIP--Zih5aJ_hAwXfs91iq3dZAHaJH.jpeg,.jpeg,244,300,3,dog,0.813
74,cane,data\raw-img\cane\OIP--zlPCJX9pdszPedQS7B0qwHaEK.jpeg,.jpeg,300,169,3,dog,1.775
75,cane,data\raw-img\cane\OIP-0-TGu-jQ5fRR5fPXr1ijvQHaHa.jpeg,.jpeg,300,300,3,dog,1.0
76,cane,data\raw-img\cane\OIP-0-wd8D97zhdVNzIqoQFoVQHaEK.jpeg,.jpeg,300,169,3,dog,1.775
77,cane,data\raw-img\cane\OIP-00zvckpZ8XDEzk-Fv4HjkQHaGL.jpeg,.jpeg,300,251,3,dog,1.195
78,cane,data\raw-img\cane\OIP-0261T_DaSKSIDaRxrLjL8gHaGD.jpeg,.jpeg,300,245,3,dog,1.224
79,cane,data\raw-img\cane\OIP-02OsWT9t46zXPceBxMicNQAAAA.jpeg,.jpeg,300,225,3,dog,1.333
80,cane,data\raw-img\cane\OIP-036LqzhKXwF9eUWycl2V_QHaFt.jpeg,.jpeg,300,232,3,dog,1.293
81,cane,data\raw-img\cane\OIP-06txpJjbByyhAlbGkpSimAHaE8.jpeg,.jpeg,300,200,3,dog,1.5
82,cane,data\raw-img\cane\OIP-08Xf8bQxZmCDI_CozSO-YgHaH1.jpeg,.jpeg,284,300,3,dog,0.947
83,cane,data\raw-img\cane\OIP-0977rkGtQ_PPflLXiMRRYAHaFM.jpeg,.jpeg,300,211,3,dog,1.422
84,cane,data\raw-img\cane\OIP-09znoxk9htqGbe5yWTj1TAHaHa.jpeg,.jpeg,300,300,3,dog,1.0
85,cane,data\raw-img\cane\OIP-0a0_6W9xqdTrLnXcL8haUgHaLH.jpeg,.jpeg,200,300,3,dog,0.667
86,cane,data\raw-img\cane\OIP-0aPTy5pR8zwqdi5jabdxjwHaGL.jpeg,.jpeg,300,251,3,dog,1.195
87,cane,data\raw-img\cane\OIP-0B2H2VPu9neVWW7TtvJlPAAAAA.jpeg,.jpeg,270,300,3,dog,0.9
88,cane,data\raw-img\cane\OIP-0cKVI1PLYxC2MlqoYwMw4gHaHa.jpeg,.jpeg,300,300,3,dog,1.0
89,cane,data\raw-img\cane\OIP-0CmAiR3-B-VLurayKj2mwAHaE8.jpeg,.jpeg,300,200,3,dog,1.5
90,cane,data\raw-img\cane\OIP-0cMunZ5IpSFGRbH_vYFvXgHaJ3.jpeg,.jpeg,226,300,3,dog,0.753
91,cane,data\raw-img\cane\OIP-0cwqK_pId75Pu0YLQq7HwgHaKj.jpeg,.jpeg,211,300,3,dog,0.703
92,cane,data\raw-img\cane\OIP-0cYdzGqi1lvZQkk0Hy0GGAHaIu.jpeg,.jpeg,255,300,3,dog,0.85
93,cane,data\raw-img\cane\OIP-0d7hpjwVocPjQXWE67RdKwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
94,cane,data\raw-img\cane\OIP-0dSHMhefigdCub1VBv_9MQHaE7.jpeg,.jpeg,300,200,3,dog,1.5
95,cane,data\raw-img\cane\OIP-0ERf2k91vjSIq_POpXYImwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
96,cane,data\raw-img\cane\OIP-0FPDhJUsYOAYGur2SHKwLwHaGT.jpeg,.jpeg,300,256,3,dog,1.172
97,cane,data\raw-img\cane\OIP-0Fr5OC5ePtaGGODisrMa0AHaJ3.jpeg,.jpeg,226,300,3,dog,0.753
98,cane,data\raw-img\cane\OIP-0G1lmzPnTshwQJ_IEMNHgQHaFR.jpeg,.jpeg,300,214,3,dog,1.402
99,cane,data\raw-img\cane\OIP-0GhaPMWsyP-8rHQIiZwBOQHaJn.jpeg,.jpeg,232,300,3,dog,0.773
100,cane,data\raw-img\cane\OIP-0gppx8vIxAdRrV48qls9-AHaEL.jpeg,.jpeg,300,169,3,dog,1.775
101,cane,data\raw-img\cane\OIP-0GXayY6pzysNy9qxkBT3uAAAAA.jpeg,.jpeg,203,300,3,dog,0.677
102,cane,data\raw-img\cane\OIP-0hW14btA_M6jJrHbL_G6xgHaHa.jpeg,.jpeg,300,300,3,dog,1.0
103,cane,data\raw-img\cane\OIP-0HXfzVFRivvb467cvpuuAwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
104,cane,data\raw-img\cane\OIP-0IJ5VSGF68QgQCiIKK-1kwHaE8.jpeg,.jpeg,300,200,3,dog,1.5
105,cane,data\raw-img\cane\OIP-0ik4tJOidfENT4WegQ_lXgHaFj.jpeg,.jpeg,300,225,3,dog,1.333
106,cane,data\raw-img\cane\OIP-0ILQycoKxMbOp7MMGpUepgHaFF.jpeg,.jpeg,300,206,3,dog,1.456
107,cane,data\raw-img\cane\OIP-0J7moFaqzBbWZxPcWax00wHaGH.jpeg,.jpeg,300,248,3,dog,1.21
108,cane,data\raw-img\cane\OIP-0Kcoh7K1yyhhwliorTrBQwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
109,cane,data\raw-img\cane\OIP-0kv5rMPnEqT_3clDXrKfAQHaHa.jpeg,.jpeg,300,300,3,dog,1.0
110,cane,data\raw-img\cane\OIP-0KYHmox3tCl3bYt8o9GnHwHaIE.jpeg,.jpeg,276,300,3,dog,0.92
111,cane,data\raw-img\cane\OIP-0LdKi8l_IC_PpVxOcZAkiAHaFj.jpeg,.jpeg,300,225,3,dog,1.333
112,cane,data\raw-img\cane\OIP-0Lw2H3yMErImHPQ380Nm4QHaHa.jpeg,.jpeg,300,300,3,dog,1.0
113,cane,data\raw-img\cane\OIP-0M8AAbNON2zvyCEB2WEhLQHaE8.jpeg,.jpeg,300,200,3,dog,1.5
114,cane,data\raw-img\cane\OIP-0MgXBMYWyaDiNS7t6xfmVAHaGu.jpeg,.jpeg,300,273,3,dog,1.099
115,cane,data\raw-img\cane\OIP-0mQIT4nlridLywx2VzDefwHaJn.jpeg,.jpeg,232,300,3,dog,0.773
116,cane,data\raw-img\cane\OIP-0Mt8jP41YC117m8g-vLBYwHaE8.jpeg,.jpeg,300,200,3,dog,1.5
117,cane,data\raw-img\cane\OIP-0N8C8uNOykUf56YdSHBRcgHaFV.jpeg,.jpeg,300,216,3,dog,1.389
118,cane,data\raw-img\cane\OIP-0Nllmx9DYctF9QAOC-QRiwHaEp.jpeg,.jpeg,300,188,3,dog,1.596
119,cane,data\raw-img\cane\OIP-0nS2eYuPVvrsMMJZvkUQnQHaEK.jpeg,.jpeg,300,169,3,dog,1.775
120,cane,data\raw-img\cane\OIP-0o7O9tycgwlNW03keu57dQHaEK.jpeg,.jpeg,300,169,3,dog,1.775
121,cane,data\raw-img\cane\OIP-0OIl_s9wblPyW_32D7R-kgHaGi.jpeg,.jpeg,300,265,3,dog,1.132
122,cane,data\raw-img\cane\OIP-0oJWg7brungXRAEoukjwyQHaIl.jpeg,.jpeg,260,300,3,dog,0.867
123,cane,data\raw-img\cane\OIP-0oUdVTIy0Q8ItRWieV4-1gHaFj.jpeg,.jpeg,300,225,3,dog,1.333
124,cane,data\raw-img\cane\OIP-0pFfkAiVCKSnDOFSXbD3UAHaFr.jpeg,.jpeg,300,230,3,dog,1.304
125,cane,data\raw-img\cane\OIP-0ptiy1AgJWRqnJWMyNuBMAHaFj.jpeg,.jpeg,300,225,3,dog,1.333
126,cane,data\raw-img\cane\OIP-0puD1CyuoAtzceC8mzcqqQHaFj.jpeg,.jpeg,300,225,3,dog,1.333
127,cane,data\raw-img\cane\OIP-0qV19Xqejl0w8Pi5OWh0egHaE8.jpeg,.jpeg,300,200,3,dog,1.5
128,cane,data\raw-img\cane\OIP-0rl28i9PdxDkBEM3EzU2GgHaMc.jpeg,.jpeg,179,300,3,dog,0.597
129,cane,data\raw-img\cane\OIP-0roIvRX9eqv-UtoJsVQu9gHaF7.jpeg,.jpeg,300,240,3,dog,1.25
130,cane,data\raw-img\cane\OIP-0Rsy7qeIHwybwdB-hh-0uAHaHF.jpeg,.jpeg,300,287,3,dog,1.045
131,cane,data\raw-img\cane\OIP-0S6RS7x07FsK8M3LNVPK3gHaFj.jpeg,.jpeg,300,225,3,dog,1.333
132,cane,data\raw-img\cane\OIP-0s9Ku6vZ9treIFugcBdYDQHaIQ.jpeg,.jpeg,270,300,3,dog,0.9
133,cane,data\raw-img\cane\OIP-0tAhOUUt1hftKXuh8TAvFwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
134,cane,data\raw-img\cane\OIP-0tJGTr4xGNW1l70Ea_fN1gHaHa.jpeg,.jpeg,300,300,3,dog,1.0
135,cane,data\raw-img\cane\OIP-0tMAa3ZV-BaGgW2DRBpVSAHaFj.jpeg,.jpeg,300,225,3,dog,1.333
136,cane,data\raw-img\cane\OIP-0tNdMJW0sj9eGgt8dyLq6wHaHX.jpeg,.jpeg,300,299,3,dog,1.003
137,cane,data\raw-img\cane\OIP-0TsqwQJPrF_CPCp2Cb8ceQHaHa.jpeg,.jpeg,300,300,3,dog,1.0
138,cane,data\raw-img\cane\OIP-0TVM3QBWmx8xSce6rxVuZQHaER.jpeg,.jpeg,300,173,3,dog,1.734
139,cane,data\raw-img\cane\OIP-0UAigJHv06nPXPpNhjD9LAHaEJ.jpeg,.jpeg,300,168,3,dog,1.786
140,cane,data\raw-img\cane\OIP-0vt72fUZV0EO4ylG-OCrZQHaEK.jpeg,.jpeg,300,169,3,dog,1.775
141,cane,data\raw-img\cane\OIP-0WqEJ-JHaZfzAfFcW_u9JgHaFj.jpeg,.jpeg,300,225,3,dog,1.333
142,cane,data\raw-img\cane\OIP-0WS9lPpkSYHRw0LWrBEw3QHaFj.jpeg,.jpeg,300,225,3,dog,1.333
143,cane,data\raw-img\cane\OIP-0XaxVg3aPvQ1Ay9EwygV2AHaHa.jpeg,.jpeg,300,300,3,dog,1.0
144,cane,data\raw-img\cane\OIP-0Xjz0Iw9s5CXEuQG2CGu1AHaEP.jpeg,.jpeg,300,172,3,dog,1.744
145,cane,data\raw-img\cane\OIP-0xyfQ1gSThIVANmA51mArwHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
146,cane,data\raw-img\cane\OIP-0YnNhp62h77TilEL0A_M0gHaE7.jpeg,.jpeg,300,200,3,dog,1.5
147,cane,data\raw-img\cane\OIP-0ynVYYZyTyrWcIheuuyyMQHaNI.jpeg,.jpeg,170,300,3,dog,0.567
148,cane,data\raw-img\cane\OIP-0YsYBkNjUXqvOr300zCUsgHaJV.jpeg,.jpeg,239,300,3,dog,0.797
149,cane,data\raw-img\cane\OIP-0ZHNKSq6ZdSkJKQ14rRFPwHaFe.jpeg,.jpeg,300,222,3,dog,1.351
150,cane,data\raw-img\cane\OIP-0ZUseJP9oAiWbYsoISk2-AHaEK.jpeg,.jpeg,300,169,3,dog,1.775
151,cane,data\raw-img\cane\OIP-10kx-38P1HEX48ktB9m3SAHaFi.jpeg,.jpeg,300,225,3,dog,1.333
152,cane,data\raw-img\cane\OIP-10l7xSXajN0P3OUWxU0pAgHaEo.jpeg,.jpeg,300,188,3,dog,1.596
153,cane,data\raw-img\cane\OIP-11I4h3JoOPyySDRiXsejsAHaFj.jpeg,.jpeg,300,225,3,dog,1.333
154,cane,data\raw-img\cane\OIP-11nMPkJPV5f2eI8LRh2wzQHaFq.jpeg,.jpeg,300,230,3,dog,1.304
155,cane,data\raw-img\cane\OIP-127wLh4lvZrhasRHpYBspgAAAA.jpeg,.jpeg,300,226,3,dog,1.327
156,cane,data\raw-img\cane\OIP-15Fp_dvnq3YXVVMYrXYORwHaFU.jpeg,.jpeg,300,216,3,dog,1.389
157,cane,data\raw-img\cane\OIP-16iKzWaFpNKn04Qj2mMDMgHaJU.jpeg,.jpeg,239,300,3,dog,0.797
158,cane,data\raw-img\cane\OIP-16Mqc38MKBFr4a33cb_dFwHaGO.jpeg,.jpeg,300,252,3,dog,1.19
159,cane,data\raw-img\cane\OIP-16rRuuNCfnpO9Dwgz9mB5wHaDL.jpeg,.jpeg,300,129,3,dog,2.326
160,cane,data\raw-img\cane\OIP-182l4BlagJigdHNMl7UjHQHaE6.jpeg,.jpeg,300,199,3,dog,1.508
161,cane,data\raw-img\cane\OIP-19rSogZk5fbKTsnh6DawdwHaJK.jpeg,.jpeg,243,300,3,dog,0.81
162,cane,data\raw-img\cane\OIP-1A7DY7n_aThaaY1idzNuXQHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
163,cane,data\raw-img\cane\OIP-1appcud56ZHeE15GV7mVowHaFl.jpeg,.jpeg,300,226,3,dog,1.327
164,cane,data\raw-img\cane\OIP-1ATVAQaBK1DmRCx9hWYcRAHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
165,cane,data\raw-img\cane\OIP-1btZhPFxge5OYPGXxgtFbQHaHa.jpeg,.jpeg,300,300,3,dog,1.0
166,cane,data\raw-img\cane\OIP-1bzbn8c1gurVqeyZReofugHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
167,cane,data\raw-img\cane\OIP-1CX-uJ9yQJM6_oY2bREWrgHaFj.jpeg,.jpeg,300,225,3,dog,1.333
168,cane,data\raw-img\cane\OIP-1D6DYtdMQRnirTuoJ7mbmQHaE-.jpeg,.jpeg,300,202,3,dog,1.485
169,cane,data\raw-img\cane\OIP-1djtL_mqX7gsgpCHeQqn8gHaEK.jpeg,.jpeg,300,169,3,dog,1.775
170,cane,data\raw-img\cane\OIP-1dN-3q4hcYQxmKLAFN6RBgHaEL.jpeg,.jpeg,300,169,3,dog,1.775
171,cane,data\raw-img\cane\OIP-1e5m6lc1j8ldtpU81shHCQHaDw.jpeg,.jpeg,300,152,3,dog,1.974
172,cane,data\raw-img\cane\OIP-1eFPH0zDILXlHr5h6Ft8-wAAAA.jpeg,.jpeg,237,300,3,dog,0.79
173,cane,data\raw-img\cane\OIP-1eSn_DkdvhsY2h1nFyntvAHaJE.jpeg,.jpeg,246,300,3,dog,0.82
174,cane,data\raw-img\cane\OIP-1evs8_7PML4x6YNl5jecXAHaIp.jpeg,.jpeg,258,300,3,dog,0.86
175,cane,data\raw-img\cane\OIP-1eZaeWPg1fIOFkvhqCRPzwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
176,cane,data\raw-img\cane\OIP-1FT9qw5GK03bzZo8Kww5cwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
177,cane,data\raw-img\cane\OIP-1fUY4qZacQDoA0hfOvwIEgHaJ4.jpeg,.jpeg,225,300,3,dog,0.75
178,cane,data\raw-img\cane\OIP-1fVSZG00aGmqiTDRWfZudgHaJn.jpeg,.jpeg,232,300,3,dog,0.773
179,cane,data\raw-img\cane\OIP-1GTKsoYpXHataZXdxz6tZAHaFg.jpeg,.jpeg,300,223,3,dog,1.345
180,cane,data\raw-img\cane\OIP-1h2zCCzMCKlg2v7kNdvXEwHaC4.jpeg,.jpeg,300,117,3,dog,2.564
181,cane,data\raw-img\cane\OIP-1iHZVGiMaBPb5mp-0VE3GwHaEH.jpeg,.jpeg,300,167,3,dog,1.796
182,cane,data\raw-img\cane\OIP-1J2GTZlSQv0EqCc907fCzgHaEK.jpeg,.jpeg,300,169,3,dog,1.775
183,cane,data\raw-img\cane\OIP-1jjM-8OnyUA91PsAU83yKAHaEK.jpeg,.jpeg,300,169,3,dog,1.775
184,cane,data\raw-img\cane\OIP-1jRdOQ6si1syL6dwyEy4xwAAAA.jpeg,.jpeg,170,300,3,dog,0.567
185,cane,data\raw-img\cane\OIP-1jYMqXNvjLTPopIeJz4jMgHaFd.jpeg,.jpeg,300,221,3,dog,1.357
186,cane,data\raw-img\cane\OIP-1khVvX2oExW0mG6G2Y2WTwAAAA.jpeg,.jpeg,225,300,3,dog,0.75
187,cane,data\raw-img\cane\OIP-1KROJo9Yy9tu7IMAhoYe3gHaGh.jpeg,.jpeg,300,264,3,dog,1.136
188,cane,data\raw-img\cane\OIP-1LKeo3RBLcL9po4AlLS_ZgHaFB.jpeg,.jpeg,300,204,3,dog,1.471
189,cane,data\raw-img\cane\OIP-1LpMShxkw9l7vqX3_1qnyAHaFj.jpeg,.jpeg,300,225,3,dog,1.333
190,cane,data\raw-img\cane\OIP-1LSP7JjBDGEXwEukPFh6HgHaEY.jpeg,.jpeg,300,178,3,dog,1.685
191,cane,data\raw-img\cane\OIP-1mnMufvl5sMH5976RmOocgHaGS.jpeg,.jpeg,300,255,3,dog,1.176
192,cane,data\raw-img\cane\OIP-1MV5ehdvqgv8jBq9-PU98gHaE8.jpeg,.jpeg,300,200,3,dog,1.5
193,cane,data\raw-img\cane\OIP-1Ndw-pGpyJdTrXad4uonNAHaFz.jpeg,.jpeg,300,235,3,dog,1.277
194,cane,data\raw-img\cane\OIP-1NXTAeieoewjwEjdnM7u5AHaGh.jpeg,.jpeg,300,264,3,dog,1.136
195,cane,data\raw-img\cane\OIP-1O9iuW5YCaoMBa97JR5FLwHaHd.jpeg,.jpeg,299,300,3,dog,0.997
196,cane,data\raw-img\cane\OIP-1oZM5Z39NBJVzrp8QJCyNQCoEs.jpeg,.jpeg,168,300,3,dog,0.56
197,cane,data\raw-img\cane\OIP-1pWXyYosDRHiDD4jRKZA0AHaFj.jpeg,.jpeg,300,225,3,dog,1.333
198,cane,data\raw-img\cane\OIP-1QAZ3az3PslGA0yMAYmPBQHaFZ.jpeg,.jpeg,300,219,3,dog,1.37
199,cane,data\raw-img\cane\OIP-1qbIy0bMYYBPj9Efylrj0AHaE8.jpeg,.jpeg,300,200,3,dog,1.5
200,cane,data\raw-img\cane\OIP-1QCIOQONeHCTvmrZeZ_nqQHaEo.jpeg,.jpeg,300,188,3,dog,1.596
201,cane,data\raw-img\cane\OIP-1Q_r1kaGmFXYAkd28zlJvwHaFj.jpeg,.jpeg,300,225,3,dog,1.333
202,cane,data\raw-img\cane\OIP-1rZ6lbl7FFNU6DCNQhu1ugHaFG.jpeg,.jpeg,300,207,3,dog,1.449
